geneID	A_RC	A_RPKM	B_RC	B_RPKM	C_RC	C_RPKM	D_RC	D_RPKM
NANP	396	5.589946	395	3.341146	19	0.4169917	377	1.949466
RPAP1	562	6.437046	527	3.616986	353	6.286174	847	3.553823
RACK1	11311	546.9544	37281	1080.248	4367	328.3181	41121	728.4099
HSPG2	11780	44.05324	15722	35.2311	952	5.53517	30516	41.80442
UBL7-AS1	37	1.499766	32	0.7772446	12	0.7562485	64	0.9503068
SMAD2	1654	8.491163	2297	7.06608	376	3.001103	3113	5.854271
DPM1	961	49.93734	1215	37.83242	290	23.42941	1573	29.94282
LINC02001	50	3.250108	47	1.830676	23	2.324433	94	2.238297
VPS4B	1457	23.13032	1262	12.00514	93	2.295443	1952	11.35178
SUN1	1745	24.43309	3841	32.2265	1526	33.21994	6980	35.80143
FAM32A	1330	48.45354	2847	62.15088	154	8.722802	3857	51.47372
RANBP3	1126	17.83863	2137	20.28679	251	6.182415	3322	19.27901
BACE2	1220	7.451557	4600	16.83569	57	0.5412819	4643	10.38838
MED28	634	14.20191	1293	17.35569	151	5.258912	1316	10.7988
TNFRSF10D	2368	35.89265	846	7.683872	286	6.739867	2052	11.39366
LOC100288203	83	2.257111	298	4.85598	34	1.437524	382	3.805399
C14orf1	504	17.55058	843	17.59035	70	3.789836	1931	24.63232
BUD13	369	10.96911	312	5.557579	59	2.726833	437	4.758703
MLPH	55	0.864441	518	4.878522	20	0.4887245	35	0.2015128
LIN7A	83	0.7204633	275	1.430383	59	0.7962459	176	0.5596396
PRKD2	422	6.284504	752	6.710615	87	2.01437	1343	7.326501
ARVCF	60	0.7972266	434	3.455462	262	5.412442	663	3.227053
RILPL1	310	5.736474	695	7.706444	574	16.51417	1569	10.63575
ANKRD46	118	2.275426	272	3.142936	397	11.90235	207	1.462221
PQBP1	433	30.513	968	40.87505	210	23.00794	1270	32.78407
DNAJC18	235	2.470069	755	4.755258	111	1.813951	720	2.772272
NAIF1	130	2.051642	314	2.969435	40	0.9814761	397	2.295149
DHRS13	80	2.233286	256	4.282331	28	1.215273	374	3.824617
TAX1BP1	2375	40.10189	3711	37.54724	899	23.60056	4771	29.51023
ENTPD5	548	4.840631	346	1.831401	147	2.018832	727	2.352437
ING2	205	4.459833	242	3.154758	53	1.792677	365	2.908839
USP30	200	2.595681	435	3.382957	112	2.25996	593	2.819279
LY6E	2424	111.0088	13730	376.7743	175	12.46018	18716	313.9785
CCNT2-AS1	15	0.5725279	13	0.2973272	11	0.652769	18	0.2516749
PUS10	87	1.215298	49	0.4101527	40	0.8687304	110	0.5628832
PCTP	265	6.56705	248	3.682663	85	3.274951	365	3.313442
SPG21	1505	44.05475	4064	71.28461	301	13.69885	5116	54.85912
RNF216P1	327	7.769586	307	4.370935	40	1.47765	454	3.951555
ATP23	46	1.656704	353	7.618116	77	4.311607	328	4.327358
HACD3	3481	58.1904	4725	47.32984	37	0.9616355	4881	29.88947
WDR33	959	14.29352	908	8.109467	313	7.253144	1680	9.172587
ERCC6	332	1.980653	637	2.277171	75	0.6956536	1231	2.690236
CAPS	21	0.5450931	65	1.010999	18	0.7264159	421	4.003091
ARRB2	122	3.300942	250	4.053255	457	19.22453	451	4.470094
COQ8A	182	3.337918	830	9.121543	10712	305.4473	1884	12.65748
RPS29	798	127.3636	1921	183.7197	905	224.5704	5079	296.9496
SETD7	4378	31.90786	5151	22.49569	1731	19.61464	8571	22.88313
TMEM138	353	10.27701	833	14.53192	39	1.765298	859	9.161093
FNIP2	680	5.154963	502	2.280375	1027	12.10455	1749	4.857004
IL32	12	0.5561982	517	14.35902	1828	131.7304	1647	27.9643
RPAIN	238	8.658869	446	9.723104	209	11.82203	569	7.583305
KPNB1	9234	125.4598	2897	23.58571	1172	24.75732	6006	29.89248
FKBP2	507	42.68254	1493	75.31612	29	3.795786	6345	195.6753
ING5	424	5.320017	682	5.127639	149	2.906664	1117	5.134077
NPIPB11	20	0.3067016	72	0.6616136	45	1.072902	251	1.410009
NFKBIZ	516	7.048247	586	4.796395	857	18.20009	5065	25.34387
COG2	408	7.399298	607	6.596369	132	3.721909	636	4.225222
BBOF1	83	1.432579	115	1.18939	12	0.3220202	304	1.9221
G2E3	898	8.300042	497	2.75262	73	1.049031	401	1.35772
N4BP2L2	779	14.71478	1050	11.88479	1158	34.00841	1798	12.44136
FGD1	585	7.338401	1077	8.095565	11	0.2145358	1687	7.752159
ZNF485	58	1.501136	61	0.946036	11	0.4426353	23	0.2180629
TMEM116	74	2.64912	269	5.770428	49	2.727265	272	3.566981
RAB14	3150	38.71748	3700	27.2511	385	7.357303	4582	20.63068
CASP9	146	2.528911	312	3.238331	108	2.908479	638	4.048214
BCAR3	1731	29.14535	1020	10.29102	85	2.225116	4810	29.66739
DNAJC27	87	0.9346012	264	1.699405	168	2.805936	174	0.6847285
EPC2	461	6.789877	576	5.083577	267	6.114117	943	5.087855
DPF2	935	13.01688	1166	9.727021	214	4.632022	2102	10.71989
TINF2	528	15.30537	1222	21.22595	222	10.00517	2394	25.42121
PRG4	16	0.1798425	17	0.1145004	53	0.9262102	6590	27.13437
CRELD2	1067	39.8744	1490	33.36583	90	5.229182	6109	83.62997
CKS2	1028	89.49403	274	14.29346	32	4.331242	1920	61.23
PEA15	10311	222.1558	16871	217.8129	601	20.13227	31127	245.6722
HIPK2	2652	9.39106	862	1.829087	1291	7.107695	1174	1.522899
COL14A1	1609	10.77895	13108	52.61901	56	0.5832703	99276	243.6277
FRA10AC1	372	6.230219	696	6.984825	127	3.306934	846	5.190303
MARK2	549	6.22565	831	5.64676	250	4.407718	1580	6.56344
MBTD1	234	2.331599	454	2.710689	134	2.07589	463	1.689978
ZNF616	192	2.312226	352	2.540139	22	0.4119202	142	0.6264399
KIAA1429	1784	26.08238	1396	12.22992	215	4.887112	1846	9.88658
PGK1	7424	164.3109	6187	82.05296	4538	156.1544	11235	91.08846
ANKRD33B	355	2.039806	1008	3.470618	671	5.994381	3153	6.636612
GRINA	2881	83.24286	11704	202.6394	477	21.42809	15748	166.6829
ACOT7	972	36.86367	121	2.749815	15	0.8844738	1945	27.02178
CDV3	5055	80.77573	3948	37.8027	2909	72.27114	10129	59.29094
XPO7	1962	21.63597	2227	14.71579	456	7.818145	3041	12.28445
SUCLG2	1905	43.39805	1594	21.75953	1131	40.05892	2058	17.17444
DARS2	764	12.23741	334	3.205742	69	1.718331	653	3.831523
MIPEP	325	7.175258	539	7.130645	86	2.951984	468	3.784967
SPCS2	1702	33.70486	3166	37.56902	334	10.2835	2780	20.16693
ARPC5	5918	152.1396	4554	70.15301	327	13.07003	10352	97.48856
PPFIBP1	3858	33.94456	1599	8.430286	389	5.321316	6505	20.96608
GPRASP2	380	5.295784	394	3.290249	79	1.71173	800	4.084121
MTSS1L	2212	23.83412	12296	79.38963	549	9.197035	16794	66.28728
PDLIM7	2869	89.81624	2343	43.95239	1726	84.00914	5313	60.9293
NDNF	1510	28.20496	182	2.037069	19	0.5517769	640	4.379157
KCTD12	2935	25.23562	3129	16.1212	317	4.237665	16481	51.91006
SLC4A4	880	6.134351	45	0.1879682	52	0.5635737	32	0.08171428
SETD5	1636	12.81528	2409	11.30752	370	4.506174	2861	8.209651
DBNL	2174	57.62957	2824	44.85764	267	11.0042	5163	50.13603
FNDC4	218	6.996192	702	13.49983	54	2.69439	1535	18.04578
TRAPPC2B	62	4.542159	130	5.706895	45	5.125598	129	3.461962
TMEM63B	664	10.73182	890	8.619483	249	6.256999	3040	17.99869
TBC1D3L	13	0.3353286	96	1.483831	25	1.002602	207	1.955958
MSH2	1383	23.11182	572	5.72788	99	2.572223	721	4.413765
ALG2	807	15.29216	1729	19.63252	39	1.149003	2257	15.66711
ZNF391	38	0.4732507	73	0.5447741	12	0.2323541	50	0.2281076
ZNF549	131	1.720996	157	1.235931	13	0.2655299	119	0.5726874
TEPSIN	145	3.400036	179	2.515095	36	1.31244	608	5.222532
CCHCR1	454	8.230749	506	5.496926	78	2.198566	917	6.089966
FITM2	298	3.414696	526	3.611665	97	1.728101	628	2.636074
SACS	4559	16.15145	945	2.006132	572	3.150644	1900	2.465798
BLOC1S5	262	5.04134	475	5.476767	54	1.615474	440	3.101412
LARS2	769	9.811799	515	3.937453	97	1.924223	758	3.542856
EHMT2	976	12.3501	1761	13.3526	59	1.160738	2826	13.09951
AKAP1	396	5.351866	435	3.522777	1361	28.5976	717	3.549696
RPL23AP53	457	4.23418	288	1.598938	96	1.382884	579	1.965141
FAM134B	93	1.578256	44	0.4474383	3489	92.05704	705	4.38274
CSPP1	228	2.591544	275	1.87302	120	2.120637	417	1.736288
MIEN1	303	11.29966	996	22.25707	75	4.34856	1679	22.93694
CAMK1	426	15.31167	948	20.41771	31	1.732351	2037	26.82044
S100A11	6087	549.5391	8904	481.6885	706	99.0972	24292	803.3792
RBL2	1397	15.7454	2644	17.85684	724	12.68695	2959	12.21699
RAP2C-AS1	30	0.4701354	12	0.1126857	21	0.5116611	70	0.401848
TLDC2	17	0.4574286	35	0.5643237	11	0.4601808	60	0.5914087
FAN1	709	7.775334	681	4.475132	340	5.797132	698	2.804079
SYF2	910	27.46222	1664	30.09078	418	19.61246	3239	35.80694
DTX2P1-UPK3BP1-PMS2P11	20	0.6090491	65	1.186101	29	1.373036	133	1.483666
IL15	24	0.5193877	28	0.3630984	54	1.816919	17	0.1347694
ZGRF1	285	2.267601	60	0.2860612	33	0.4082227	100	0.2914633
PPP2R2A	1135	15.45224	894	7.293217	506	10.71045	1041	5.191687
NECTIN2	913	17.14329	2710	30.49149	253	7.385934	3237	22.26528
NDUFB11	806	39.50931	1896	55.69146	1594	121.4826	3904	70.10294
PITHD1	805	26.61502	1253	24.82377	337	17.32296	1512	18.31237
RAI14	4686	51.097	3584	23.41785	28	0.4746928	1856	7.413669
RPS12	5289	563.8807	13539	864.9404	2209	366.16	15874	619.9578
LOC105376114	27	1.293944	83	2.383502	114	8.49411	82	1.439552
ELK4	1083	5.209239	1330	3.833393	205	1.533067	1261	2.221892
MTMR12	625	6.90355	471	3.117448	79	1.356691	1126	4.556096
EPN2	822	9.451374	1365	9.40463	229	4.093738	3000	12.63591
PHIP	1503	6.733588	829	2.225502	542	3.775272	1286	2.110525
PKM	33793	719.9879	30674	391.6109	15214	503.9684	122238	954.0403
CDK17	1350	17.29896	1139	8.745726	189	3.765386	1058	4.966311
GPSM3	50	1.805615	91	1.969167	247	13.86799	83	1.097982
SFI1	207	2.626773	231	1.756508	23	0.4537759	562	2.612465
KLHL42	854	7.079497	970	4.818392	17	0.2191063	1190	3.613712
TRIM25	2374	22.16399	2108	11.79298	750	10.88654	3399	11.62467
ACBD3	2117	31.84513	2224	20.0467	334	7.811421	3114	17.15943
WSB2	2419	45.01151	2341	26.10207	1093	31.62054	2592	17.66789
ULBP2	188	7.160393	80	1.825807	11	0.6513781	256	3.57175
RBKS	20	0.8438517	31	0.7837611	41	2.689561	111	1.71562
WDR25	125	3.368516	290	4.682874	42	1.759703	331	3.267523
TMEM223	144	8.241468	327	11.21439	59	5.249955	530	11.11169
EIF5	5119	46.18362	4383	23.69519	4139	58.05769	5383	17.79055
POLR1C	335	13.27788	409	9.713888	51	3.142791	380	5.517337
SAYSD1	235	1.961446	684	3.42098	34	0.4412136	1156	3.534503
UNG	982	24.51652	1090	16.30647	278	10.7908	1263	11.55082
TAF2	1117	11.93249	821	5.255415	107	1.777146	1258	4.922896
RPS11	7377	612.3912	30010	1492.798	6139	792.3339	36035	1095.811
PHKA2	212	2.135	271	1.635375	194	3.037563	477	1.759716
SLC35A5	857	10.71285	1240	9.288209	49	0.9523178	1361	6.232245
ASL	649	16.89504	499	7.783966	44	1.780855	1126	10.73779
OXTR	342	4.206504	89	0.6559505	11	0.2103533	19	0.08560731
SLC38A10	1808	21.43648	7610	54.06618	173	3.18906	10192	44.26664
SNHG7	440	10.92903	2785	41.45149	113	4.363841	1891	17.20611
RNF130	794	18.81558	3597	51.07677	432	15.91631	5259	45.65227
GAS8	210	3.535831	278	2.804807	142	3.717252	779	4.80476
SCML1	398	7.481058	870	9.799074	204	5.961719	639	4.3999
NEK6	1257	26.10723	2249	27.98986	77	2.486438	2196	16.70782
AKR1B1	1326	34.56933	4276	66.79916	1537	62.29923	10183	97.24901
GEN1	529	4.110195	122	0.5680054	42	0.5073615	351	0.9990239
GART	1689	25.87875	1328	12.19264	221	5.264624	1832	10.28256
PEX12	223	4.457239	341	4.084146	31	0.9633501	345	2.526051
ZNF426	329	2.48391	308	1.393402	46	0.539957	419	1.15882
MFSD1	1944	46.43673	2283	32.67813	140	5.199419	3453	30.21509
MRPL23	597	43.14715	929	40.23272	209	23.48473	1018	26.95179
PRRC2A	6106	47.10762	6710	31.02007	1240	14.87365	13649	38.57423
TRIO	7432	35.90578	2999	8.682026	699	5.25046	9445	16.71563
PPP2R1B	729	6.97483	448	2.568443	96	1.428035	898	3.147346
ADGRL4	524	7.764695	92	0.8168961	174	4.008702	867	4.706242
EFEMP2	4274	110.8321	15084	234.387	219	8.829512	24970	237.1984
TSPAN5	1743	27.51589	1046	9.894725	56	1.374471	3077	17.79408
MAP1LC3B2	336	21.65697	423	16.33746	677	67.84354	590	13.93068
GNAQ	1632	13.79771	2429	12.30553	372	4.889803	2956	9.154897
PSMB6	1305	82.1396	2428	91.57494	898	87.87794	3710	85.54173
UQCRB	2260	24.56852	4356	28.37555	3554	60.06887	5123	20.40126
NARFL	306	7.646688	831	12.44339	113	4.390276	852	7.799263
ATF3	62	1.620302	55	0.861297	8150	331.149	14228	136.2104
PLXNA2	334	1.565266	353	0.9912938	332	2.41903	1055	1.811158
IQCE	657	14.28743	720	9.38225	75	2.535779	2076	16.53781
ABT1	417	9.881735	842	11.95625	78	2.873778	816	7.083523
MACROD1	230	9.812378	496	12.67985	1863	123.5722	558	8.720525
PINX1	264	9.482565	243	5.230149	30	1.675346	300	3.947346
ZNF680	140	2.461557	238	2.507522	88	2.405614	156	1.004774
PLEC	27793	97.70232	12434	26.19185	11965	65.39486	63347	81.57509
RIPK2	516	10.70461	632	7.85641	86	2.773838	1393	10.58606
ZBTB26	71	1.914279	52	0.84011	14	0.5868625	114	1.125936
RBM5-AS1	40	1.54767	11	0.2550334	18	1.08281	77	1.091368
SOD1	2519	139.9853	4020	133.8648	1057	91.32523	8559	174.2366
VASN	5456	104.2722	15604	178.6964	108	3.20907	19514	136.6162
C11orf49	391	17.10283	720	18.87164	36	2.448246	1478	23.68251
COX6C	997	58.05201	1271	44.3459	1698	153.7168	2424	51.70311
PPARA	547	2.919081	767	2.452676	450	3.733643	1351	2.641047
MRPL21	337	25.96584	445	20.54558	268	32.10471	602	16.99147
CCT7	5122	163.9859	5314	101.947	1697	84.47149	8352	97.95338
TMLHE	275	3.724082	296	2.401951	373	7.853383	437	2.167854
ANKRD44	129	4.223354	369	7.239025	122	6.209964	143	1.715007
ERI1	859	9.981668	870	6.057803	42	0.7587885	1169	4.97607
ZNF319	225	2.85857	539	4.103373	93	1.837007	548	2.550404
CXCL14	93	2.52777	152	2.475621	572	24.17197	5906	58.80444
LIN9	276	4.42481	88	0.8453842	19	0.4735879	104	0.6107746
EXOC6	37	0.5393288	63	0.5502732	377	8.543871	52	0.2776625
FBXO17	553	12.74414	1634	22.56437	20	0.7165999	1274	10.75516
FAM45A	1076	21.41886	2193	26.15825	126	3.899564	2214	16.14447
CELF1	1899	21.91462	858	5.933107	817	14.6586	2479	10.47967
HKR1	191	3.535628	535	5.934346	77	2.21608	818	5.546877
RAE1	722	21.36784	756	13.40699	49	2.25466	781	8.467136
PPP3CB	1497	22.78073	2582	23.54442	4000	94.63836	3297	18.37921
DOCK7	3090	23.05325	2221	9.929059	75	0.869954	3485	9.524418
FOCAD	870	7.653428	745	3.927163	257	3.515048	1531	4.933714
STX2	1508	24.21958	1051	10.11472	63	1.57314	1911	11.24315
WDR92	320	7.526565	294	4.143621	65	2.376959	487	4.196023
ING4	199	7.385279	1088	24.19517	67	3.865895	1107	15.04955
MRPL30	720	8.512187	627	4.441832	332	6.102505	720	3.118194
CACFD1	131	2.550874	458	5.344033	50	1.513733	1098	7.83217
WIZ	1581	20.34163	2987	23.029	174	3.480685	6298	29.68374
NRM	373	11.3976	328	6.005709	18	0.8551425	693	7.757108
TGIF2	203	3.194318	563	5.308556	28	0.6850173	121	0.6974764
PTPRJ	467	3.190687	148	0.6059195	144	1.529647	199	0.4980609
TOR1AIP1	1740	23.01692	3463	27.44962	1164	23.93935	4760	23.06572
TMEM179B	383	19.69229	1575	48.52481	50	3.996951	2803	52.79375
SNTB2	1482	8.133751	2275	7.481867	157	1.339688	2885	5.800301
EPHA2	359	4.913735	783	6.42192	121	2.574922	2039	10.22343
RNPEPL1	509	9.04441	2440	25.97994	451	12.45949	2937	19.11738
RING1	692	21.35197	1896	35.0555	265	12.71274	3741	42.28455
COX8A	1750	185.1023	1984	125.7481	2048	336.7946	3977	154.096
MPV17L2	222	8.766675	320	7.572125	37	2.271669	676	9.778914
OSGEP	362	11.9464	415	8.206582	88	4.515152	471	5.693919
SECISBP2L	1492	11.14983	1343	6.013969	345	4.008481	1899	5.198598
TRIM28	4672	84.67195	6510	70.69743	830	23.38709	7648	50.77462
C4orf3	1889	35.68192	4190	47.42597	668	19.61798	4433	30.6744
FOXO3B	176	1.300222	130	0.5754852	12	0.1378312	150	0.4059366
NFATC3	638	5.40333	841	4.267983	532	7.005092	1001	3.105538
RPS20	5397	344.9627	15671	600.2087	3395	337.3813	20911	489.6171
CASKIN2	382	4.084017	833	5.336482	144	2.393581	1152	4.511684
CDK11B	1125	19.88468	2088	22.11477	660	18.13725	3378	21.87196
SP4	142	16.99777	119	8.535648	114	21.21632	159	6.972087
TSPAN17	1091	22.60696	1140	14.15494	260	8.3763	1983	15.05228
ENOX2	465	5.846765	437	3.292532	56	1.094743	751	3.459112
LINC00504	259	2.973525	111	0.763626	251	4.480299	990	4.1636
CLASP1	1628	11.03861	1376	5.590678	1305	13.75726	2754	6.840472
GBA2	533	7.915556	877	7.804403	350	8.081346	1364	7.420456
MYL9	3855	172.7078	6898	185.1811	146	10.16955	8176	134.1808
ZFP90	538	6.075217	776	5.25082	59	1.035841	1121	4.637107
SERPING1	1897	51.74466	22043	360.2921	679	28.79582	24942	249.2249
ZBTB43	358	3.214733	308	1.65729	1495	20.87202	1038	3.414454
OXA1L	1467	45.76526	3438	64.26842	1124	54.5172	5496	62.80794
GID4	414	5.246098	637	4.836836	237	4.669236	1250	5.802405
FDPS	1363	54.62877	1867	44.83899	223	13.89607	7823	114.8579
C12orf75	11343	445.3064	6459	151.9435	2402	146.6106	5634	81.02328
MIGA1	831	6.955494	355	1.780497	228	2.967039	580	1.778349
PRPF38B	939	13.41741	1377	11.79025	296	6.575916	1833	9.594617
CCDC66	209	3.595764	269	2.773212	53	1.417693	380	2.394917
RXRA	1672	14.96145	3832	20.54702	1702	23.67873	4268	13.9902
SKIV2L2	1869	23.84121	2614	19.98069	638	12.65322	2431	11.35968
JUNB	1949	57.55429	14617	258.6485	15145	695.3389	107334	1161.088
UHRF1BP1L	1245	12.90151	757	4.700598	289	4.656189	1936	7.349177
LOC100499489	101	2.162197	179	2.296217	11	0.3661239	283	2.219333
BVES	487	4.692945	689	3.978521	741	11.10187	837	2.954636
C2CD3	450	3.031664	500	2.01848	89	0.9322236	795	1.961995
RAB15	360	5.6932	442	4.188534	551	13.54774	824	4.773568
STK17B	944	9.539039	3560	21.55602	708	11.12314	1148	4.249487
ZNF362	383	6.612703	968	10.01478	136	3.650737	1566	9.904533
TMEM65	1283	15.97473	873	6.513388	243	4.704078	1638	7.471069
PDE6D	368	18.9574	766	23.64534	36	2.883334	1054	19.88995
OSR1	777	22	1398	23.71891	24	1.056512	4244	44.01889
MRPL49	909	24.99833	1840	30.32151	152	6.499083	2078	20.93412
NDRG4	337	5.702816	63	0.6388309	15	0.39465	1076	6.670122
FHOD1	575	8.000881	1314	10.95598	1437	31.08767	3669	18.70164
GUSBP11	87	1.365787	167	1.570964	87	2.123462	413	2.375067
RPS6	16244	1050.8	38592	1495.927	5097	512.6291	42067	996.8521
TBL1XR1	1682	11.08928	3866	15.27303	631	6.467975	2705	6.532912
KIAA0895L	182	2.87061	65	0.6143304	45	1.103511	1052	6.078278
REPIN1	778	12.67364	3170	30.94333	1281	32.44385	2194	13.09244
PPP1R8	1147	23.13272	1551	18.74395	102	3.198342	2007	14.82766
BTBD19	48	1.637459	104	2.125927	27	1.432037	655	8.18526
STX11	11	0.1071756	15	0.08757506	269	4.0749	36	0.1284896
ZACN	111	4.041121	228	4.97393	11	0.6226344	286	3.814231
PHF23	919	25.65487	1484	24.82413	74	3.211792	1683	17.21078
HLA-DPA1	39	1.233163	23	0.4357823	211	10.37289	32	0.3706533
ABCD3	1083	60.05977	946	31.43636	265	22.84875	1005	20.4166
C17orf58	82	2.808043	413	8.47473	20	1.064833	491	6.15933
SLC25A5	2981	118.3282	3649	86.79328	213	13.14521	3949	57.42163
SNX27	508	4.318707	849	4.324975	241	3.185433	856	2.665789
IDI2	43	1.6968	51	1.20592	1584	97.18044	52	0.7516707
RNF128	73	1.462366	46	0.5521754	107	3.332564	199	1.460321
REEP6	24	0.8390108	35	0.7331795	16	0.8696365	101	1.29342
PCDHB5	44	0.8075216	76	0.8357973	11	0.3138742	380	2.554742
GUCY1B3	118	1.985554	312	3.145865	11	0.2877755	426	2.625858
BSG	5743	176.9992	16433	303.4836	1882	90.18068	32140	362.8611
WWOX	96	2.074203	320	4.143008	17	0.5710712	548	4.33733
RCC1L	955	21.25927	2077	27.70558	654	22.63519	1846	15.05354
EFR3A	2469	23.09113	3516	19.7042	1005	14.61341	2834	9.709254
NXT1	300	14.40289	475	13.66495	72	5.374307	476	8.371388
RAB4B	171	7.712513	285	7.70248	38	2.664679	687	11.35059
CD27-AS1	104	2.359215	419	5.69553	32	1.128615	614	5.102284
CCDC149	383	5.05639	532	4.208616	73	1.498394	1097	5.305306
AURKA	1470	34.97398	32	0.4562088	20	0.7398083	744	6.484295
ACP2	490	12.4183	1111	16.87198	79	3.112824	1780	16.52525
RPL10A	7844	585.0465	21963	981.5905	3474	402.8506	20749	566.9072
