geneID	A_RC	A_RPKM	B_RC	B_RPKM	C_RC	C_RPKM	D_RC	D_RPKM
TMEM138	353	10.27701	833	14.53192	39	1.765298	859	9.161093
FNIP2	680	5.154963	502	2.280375	1027	12.10455	1749	4.857004
IL32	12	0.5561982	517	14.35902	1828	131.7304	1647	27.9643
ZNF645	0	0	0	0	0	0	0	0
RPAIN	238	8.658869	446	9.723104	209	11.82203	569	7.583305
GRIA1	34	0.3329031	759	4.453143	0	0	180	0.6456148
LINC00324	2	0.05121946	52	0.7979841	2	0.07963362	47	0.4409252
DLK2	6	0.1668018	31	0.5164129	1	0.0432226	16	0.1629414
KPNB1	9234	125.4598	2897	23.58571	1172	24.75732	6006	29.89248
FKBP2	507	42.68254	1493	75.31612	29	3.795786	6345	195.6753
ING5	424	5.320017	682	5.127639	149	2.906664	1117	5.134077
SNORA70	0	0	0	0	0	0	0	0
LINC00634	0	0	0	0	0	0	5	0.0652212
NPIPB11	20	0.3067016	72	0.6616136	45	1.072902	251	1.410009
GPR82	0	0	0	0	0	0	0	0
NFKBIZ	516	7.048247	586	4.796395	857	18.20009	5065	25.34387
MIR1304	0	0	0	0	0	0	0	0
CD27	0	0	0	0	2	0.1263279	11	0.1637052
DCAF12L1	1	0.01581911	0	0	0	0	0	0
APCDD1L-AS1	5	0.1279265	0	0	0	0	152	1.42461
COG2	408	7.399298	607	6.596369	132	3.721909	636	4.225222
BBOF1	83	1.432579	115	1.18939	12	0.3220202	304	1.9221
MIR129-1	0	0	0	0	0	0	0	0
G2E3	898	8.300042	497	2.75262	73	1.049031	401	1.35772
TMEM108	4	0.0864251	0	0	101	3.392835	13	0.1028929
MSH5	106	2.044762	14	0.1618269	9	0.2699236	279	1.971529
LOC105755953	0	0	0	0	0	0	0	0
N4BP2L2	779	14.71478	1050	11.88479	1158	34.00841	1798	12.44136
FGD1	585	7.338401	1077	8.095565	11	0.2145358	1687	7.752159
RN7SL3	3	0.5380613	0	0	0	0	0	0
ZNF485	58	1.501136	61	0.946036	11	0.4426353	23	0.2180629
MIR4770	0	0	0	0	0	0	0	0
CA1	0	0	0	0	4	0.2788508	0	0
TMEM116	74	2.64912	269	5.770428	49	2.727265	272	3.566981
POTEI	0	0	0	0	0	0	0	0
OR5AR1	0	0	0	0	0	0	0	0
UCKL1-AS1	15	0.2233208	23	0.2051879	9	0.2083253	46	0.2508753
PGBD3	0	0	0	0	0	0	0	0
AATK-AS1	0	0	0	0	0	0	0	0
RAB14	3150	38.71748	3700	27.2511	385	7.357303	4582	20.63068
CASP9	146	2.528911	312	3.238331	108	2.908479	638	4.048214
BCAR3	1731	29.14535	1020	10.29102	85	2.225116	4810	29.66739
RBM46	5	0.07278336	0	0	0	0	0	0
C10orf99	0	0	0	0	0	0	0	0
HTR7	65	1.041763	0	0	8	0.1993458	133	0.7808533
TNFSF12-TNFSF13	0	0	0	0	0	0	0	0
DNAJC27	87	0.9346012	264	1.699405	168	2.805936	174	0.6847285
GYPA	0	0	0	0	0	0	0	0
HYMAI	11	0.154625	0	0	3	0.06556466	41	0.2111218
NOXA1	3	0.09980169	33	0.6578342	59	3.051618	83	1.011479
EPC2	461	6.789877	576	5.083577	267	6.114117	943	5.087855
TFCP2L1	0	0	0	0	2	0.01795744	0	0
VN1R1	2	0.06848886	0	0	6	0.3194498	4	0.05017784
DPF2	935	13.01688	1166	9.727021	214	4.632022	2102	10.71989
KLB	0	0	0	0	1	0.01371548	1	0.003231555
LCE2D	0	0	0	0	1	0.1403643	0	0
TINF2	528	15.30537	1222	21.22595	222	10.00517	2394	25.42121
PRG4	16	0.1798425	17	0.1145004	53	0.9262102	6590	27.13437
TRIM64	0	0	0	0	0	0	3	0.03844349
CRELD2	1067	39.8744	1490	33.36583	90	5.229182	6109	83.62997
CKS2	1028	89.49403	274	14.29346	32	4.331242	1920	61.23
PEA15	10311	222.1558	16871	217.8129	601	20.13227	31127	245.6722
HIPK2	2652	9.39106	862	1.829087	1291	7.107695	1174	1.522899
MIR1273A	0	0	0	0	0	0	0	0
COL14A1	1609	10.77895	13108	52.61901	56	0.5832703	99276	243.6277
FRA10AC1	372	6.230219	696	6.984825	127	3.306934	846	5.190303
CKM	11	0.3557868	0	0	163152	8204.479	5	0.05924193
TPRX1	0	0	0	0	0	0	0	0
C16orf90	0	0	0	0	0	0	0	0
MARK2	549	6.22565	831	5.64676	250	4.407718	1580	6.56344
MBTD1	234	2.331599	454	2.710689	134	2.07589	463	1.689978
MIR548Y	0	0	0	0	0	0	0	0
NAT14	312	12.39374	1121	26.68329	6	0.3705618	693	10.08424
LINC01859	0	0	0	0	0	0	0	0
FMO9P	0	0	0	0	0	0	0	0
ZNF616	192	2.312226	352	2.540139	22	0.4119202	142	0.6264399
KIAA1429	1784	26.08238	1396	12.22992	215	4.887112	1846	9.88658
PGK1	7424	164.3109	6187	82.05296	4538	156.1544	11235	91.08846
ANKRD33B	355	2.039806	1008	3.470618	671	5.994381	3153	6.636612
LINC01168	1	0.009936404	0	0	0	0	1	0.003639915
ARMC4P1	0	0	0	0	0	0	0	0
GRINA	2881	83.24286	11704	202.6394	477	21.42809	15748	166.6829
LINC01115	0	0	0	0	0	0	0	0
ACOT7	972	36.86367	121	2.749815	15	0.8844738	1945	27.02178
CDV3	5055	80.77573	3948	37.8027	2909	72.27114	10129	59.29094
XPO7	1962	21.63597	2227	14.71579	456	7.818145	3041	12.28445
FAM87A	1	0.01336326	0	0	0	0	26	0.1272764
SUCLG2	1905	43.39805	1594	21.75953	1131	40.05892	2058	17.17444
IPO5P1	44	0.434145	49	0.2897104	2	0.03068129	92	0.3325309
PRH1	60	2.618069	95	2.48393	10	0.6784084	95	1.518502
CFAP57	0	0	12	0.09258355	1	0.02001834	59	0.2782792
MIR519B	0	0	0	0	0	0	0	0
LINC00582	0	0	0	0	0	0	1	0.03290557
MIR25	0	0	0	0	0	0	0	0
MIR194-1	0	0	0	0	0	0	0	0
DARS2	764	12.23741	334	3.205742	69	1.718331	653	3.831523
C11orf63	78	1.328745	214	2.184473	1	0.02648551	370	2.30893
MIPEP	325	7.175258	539	7.130645	86	2.951984	468	3.784967
TAS2R4	1	0.05958531	0	0	3	0.2779213	1	0.02182736
SRRM4	1	0.00632615	0	0	8	0.07868481	3	0.006952208
CYLC1	0	0	0	0	0	0	0	0
SNORD94	0	0	0	0	0	0	0	0
ABCC6P2	0	0	0	0	0	0	3	0.08347574
LOC613266	0	0	0	0	0	0	0	0
MIR3118-4	0	0	0	0	0	0	0	0
LINC00208	0	0	0	0	0	0	0	0
LINC01626	0	0	0	0	0	0	0	0
SPCS2	1702	33.70486	3166	37.56902	334	10.2835	2780	20.16693
GOLGA8DP	0	0	0	0	0	0	2	0.007358915
MIR617	0	0	0	0	0	0	0	0
LOC105374366	13	1.502474	5	0.3462738	13	2.335977	15	0.6350633
OR10C1	0	0	0	0	1	0.08024678	0	0
OR2A9P	102	5.55323	243	7.927525	7	0.5925226	104	2.074153
SPATA9	5	0.123621	3	0.04444565	3	0.11532	11	0.09962695
FAM83H	160	1.533015	125	0.7176659	1	0.01489662	205	0.719519
LOC101928674	5	0.4679474	9	0.5047258	3	0.4365256	23	0.7885277
CD247	0	0	0	0	10	0.4968796	1	0.01170717
PLEKHN1	28	0.6256457	6	0.08033552	3	0.1042205	11	0.09003786
FAM167A-AS1	0	0	0	0	0	0	0	0
ST8SIA4	51	0.4326108	83	0.4218822	62	0.8176743	5	0.01553672
ARPC5	5918	152.1396	4554	70.15301	327	13.07003	10352	97.48856
CLDN2	0	0	0	0	0	0	9	0.05609188
PPFIBP1	3858	33.94456	1599	8.430286	389	5.321316	6505	20.96608
SNORA25	0	0	0	0	0	0	0	0
LSAMP-AS1	0	0	0	0	0	0	0	0
LOC101928100	0	0	0	0	2	0.05892325	15	0.1041235
GPRASP2	380	5.295784	394	3.290249	79	1.71173	800	4.084121
MTSS1L	2212	23.83412	12296	79.38963	549	9.197035	16794	66.28728
FLJ13224	1	0.03289986	0	0	0	0	0	0
MIR3614	0	0	0	0	0	0	0	0
RNASE1	1	0.06547836	4	0.1569436	206	20.97135	1	0.02398611
LOC101927272	0	0	0	0	3	0.2255448	0	0
LOC101928372	0	0	7	0.1053087	1	0.03903389	6	0.05518153
PDLIM7	2869	89.81624	2343	43.95239	1726	84.00914	5313	60.9293
LRRC37A6P	6	0.04985446	0	0	0	0	2	0.006087581
