#Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink
AGE-RAGE signaling pathway in diabetic complications	KEGG PATHWAY	hsa04933	19	103	9.01E-05	0.002194399	VEGFB|CCL2|AGTR1|ICAM1|VEGFD|CXCL8|COL4A4|TGFB2|CCND1|PIM1|THBD|VCAM1|FOXO1|EDN1|IL6|F3|SERPINE1|PLCB1|TGFB3	http://www.genome.jp/kegg-bin/show_pathway?hsa04933/hsa:3569%09red/hsa:7042%09red/hsa:1906%09red/hsa:3383%09red/hsa:595%09red/hsa:6347%09red/hsa:5292%09red/hsa:23236%09red/hsa:3576%09red/hsa:2277%09red/hsa:7056%09red/hsa:1286%09red/hsa:7043%09red/hsa:5054%09red/hsa:7423%09red/hsa:2152%09red/hsa:185%09red/hsa:7412%09red/hsa:2308%09red
Rheumatoid arthritis	KEGG PATHWAY	hsa05323	17	86	9.99E-05	0.002231098	CCL2|TGFB2|ICAM1|MMP3|CXCL8|CTSK|ITGB2|CXCL6|TNFSF13B|TEK|CXCL5|CSF1|TLR4|FOS|IL6|IL11|TGFB3	http://www.genome.jp/kegg-bin/show_pathway?hsa05323/hsa:3689%09red/hsa:3569%09red/hsa:1435%09red/hsa:3383%09red/hsa:6372%09red/hsa:7099%09red/hsa:3589%09red/hsa:3576%09red/hsa:6374%09red/hsa:6347%09red/hsa:7043%09red/hsa:4314%09red/hsa:10673%09red/hsa:7010%09red/hsa:1513%09red/hsa:2353%09red/hsa:7042%09red
Cell adhesion molecules (CAMs)	KEGG PATHWAY	hsa04514	23	143	0.000111484	0.002298289	CNTNAP2|HLA-F|ITGA6|ITGB2|LRRC4|NLGN4X|NTNG1|CD274|CADM1|ICAM1|CD226|CLDN4|VCAM1|NRCAM|CDH2|CDH4|NLGN4Y|ITGA9|CDH5|HLA-C|JAM2|CADM3|CD34	http://www.genome.jp/kegg-bin/show_pathway?hsa04514/hsa:58494%09red/hsa:64101%09red/hsa:3383%09red/hsa:26047%09red/hsa:7412%09red/hsa:947%09red/hsa:4897%09red/hsa:23705%09red/hsa:3107%09red/hsa:22854%09red/hsa:3655%09red/hsa:57863%09red/hsa:1364%09red/hsa:29126%09red/hsa:10666%09red/hsa:57502%09red/hsa:1000%09red/hsa:1003%09red/hsa:1002%09red/hsa:3689%09red/hsa:3680%09red/hsa:22829%09red/hsa:3134%09red
Complement and coagulation cascades	KEGG PATHWAY	hsa04610	16	79	0.000123894	0.002371691	SERPINA5|F2RL2|C1R|F13A1|C2|ITGB2|CFD|C3|CFH|SERPINB2|PLAT|F3|SERPINE1|THBD|C1S|SERPING1	http://www.genome.jp/kegg-bin/show_pathway?hsa04610/hsa:3689%09red/hsa:5327%09red/hsa:718%09red/hsa:3075%09red/hsa:5104%09red/hsa:2162%09red/hsa:7056%09red/hsa:2152%09red/hsa:717%09red/hsa:2151%09red/hsa:710%09red/hsa:716%09red/hsa:5055%09red/hsa:715%09red/hsa:5054%09red/hsa:1675%09red
Ras signaling pathway	KEGG PATHWAY	hsa04014	31	231	0.000167098	0.002740959	EGFR|FGF5|VEGFD|IGF1|BUB1B-PAK6|NGFR|FGF9|HTR7|EGF|TIAM1|GRIN2A|KDR|TEK|PLA2G16|VEGFB|FGF11|SHC3|EFNA3|FGF12|FGF14|SHC2|FGFR2|KIT|MET|RASSF5|PDGFRB|FGF18|ABL2|CSF1|PDGFD|PLA2G2A	http://www.genome.jp/kegg-bin/show_pathway?hsa04014/hsa:2256%09red/hsa:5320%09red/hsa:3815%09red/hsa:4804%09red/hsa:2903%09red/hsa:8817%09red/hsa:2259%09red/hsa:27%09red/hsa:2254%09red/hsa:2257%09red/hsa:3479%09red/hsa:2250%09red/hsa:7074%09red/hsa:2277%09red/hsa:3791%09red/hsa:1950%09red/hsa:1956%09red/hsa:7010%09red/hsa:56924%09red/hsa:5159%09red/hsa:7423%09red/hsa:83593%09red/hsa:80310%09red/hsa:1435%09red/hsa:25759%09red/hsa:4233%09red/hsa:53358%09red/hsa:1944%09red/hsa:3363%09red/hsa:2263%09red/hsa:11145%09red
Axon guidance	KEGG PATHWAY	hsa04360	26	178	0.000167211	0.002740959	EPHA5|EPHB6|BUB1B-PAK6|WNT4|PDK1|NFATC2|ROBO2|EPHB1|F2RL2|SLIT3|SEMA5A|SEMA3E|NTNG1|UNC5B|RND1|SEMA6B|EFNA3|WNT5A|PLXNB3|ENAH|TRPC6|GDF7|MET|SEMA3B|EPHB3|LRRC4	http://www.genome.jp/kegg-bin/show_pathway?hsa04360/hsa:64101%09red/hsa:27289%09red/hsa:5365%09red/hsa:6586%09red/hsa:55740%09red/hsa:9723%09red/hsa:7474%09red/hsa:4773%09red/hsa:2044%09red/hsa:7225%09red/hsa:2047%09red/hsa:2049%09red/hsa:9037%09red/hsa:22854%09red/hsa:56924%09red/hsa:6092%09red/hsa:10501%09red/hsa:151449%09red/hsa:219699%09red/hsa:54361%09red/hsa:4233%09red/hsa:2051%09red/hsa:1944%09red/hsa:2151%09red/hsa:5163%09red/hsa:7869%09red
Melanoma	KEGG PATHWAY	hsa05218	15	73	0.000173867	0.002740959	EGFR|FGF11|FGF5|FGF12|IGF1|FGF14|CCND1|FGF18|E2F2|E2F1|FGF9|MET|PDGFD|EGF|PDGFRB	http://www.genome.jp/kegg-bin/show_pathway?hsa05218/hsa:8817%09red/hsa:2256%09red/hsa:2259%09red/hsa:2254%09red/hsa:595%09red/hsa:3479%09red/hsa:2250%09red/hsa:4233%09red/hsa:1870%09red/hsa:1950%09red/hsa:80310%09red/hsa:1956%09red/hsa:1869%09red/hsa:5159%09red/hsa:2257%09red
p53 signaling pathway	KEGG PATHWAY	hsa04115	14	69	0.000316674	0.004359914	CDK1|IGF1|CCNB2|SERPINE1|RPRM|CCNE2|TP73|CCND1|GTSE1|CHEK1|THBS1|RRM2|CD82|CCNB1	http://www.genome.jp/kegg-bin/show_pathway?hsa04115/hsa:56475%09red/hsa:3732%09red/hsa:9134%09red/hsa:1111%09red/hsa:51512%09red/hsa:595%09red/hsa:891%09red/hsa:3479%09red/hsa:7161%09red/hsa:7057%09red/hsa:9133%09red/hsa:6241%09red/hsa:983%09red/hsa:5054%09red
Proteoglycans in cancer	KEGG PATHWAY	hsa05205	28	208	0.000322434	0.004359914	EGFR|TIAM1|IGF1|WNT4|LUM|TLR4|WNT2B|FZD4|HPSE2|HPSE|FLNC|KDR|WNT7B|IGF2|WNT2|WNT5A|TGFB2|HBEGF|ITGA2|HOXD10|MET|CAV1|CCND1|HCLS1|ITGB3|THBS1|PPP1R12A|DCN	http://www.genome.jp/kegg-bin/show_pathway?hsa05205/hsa:3481%09red/hsa:4060%09red/hsa:7477%09red/hsa:7474%09red/hsa:7472%09red/hsa:1839%09red/hsa:4659%09red/hsa:7099%09red/hsa:1634%09red/hsa:3479%09red/hsa:7074%09red/hsa:3791%09red/hsa:7057%09red/hsa:1956%09red/hsa:3690%09red/hsa:60495%09red/hsa:2318%09red/hsa:595%09red/hsa:7482%09red/hsa:3673%09red/hsa:857%09red/hsa:8322%09red/hsa:54361%09red/hsa:10855%09red/hsa:4233%09red/hsa:3059%09red/hsa:7042%09red/hsa:3236%09red
Regulation of actin cytoskeleton	KEGG PATHWAY	hsa04810	29	219	0.000325367	0.004359914	CYFIP2|EGFR|FGF5|BUB1B-PAK6|FGF9|ITGB3|ITGA6|EGF|TIAM1|ITGB2|INSRR|FGF11|CD14|FGF12|FGF14|ENAH|SCIN|FGD3|FGFR2|ITGA9|ITGA2|PDGFD|ITGA10|PDGFRB|FGF18|IQGAP3|ITGA11|DIAPH3|PPP1R12A	http://www.genome.jp/kegg-bin/show_pathway?hsa04810/hsa:55740%09red/hsa:22801%09red/hsa:929%09red/hsa:26999%09red/hsa:8817%09red/hsa:2259%09red/hsa:4659%09red/hsa:2254%09red/hsa:2257%09red/hsa:2256%09red/hsa:2250%09red/hsa:7074%09red/hsa:128239%09red/hsa:85477%09red/hsa:1950%09red/hsa:1956%09red/hsa:3690%09red/hsa:56924%09red/hsa:81624%09red/hsa:8515%09red/hsa:3673%09red/hsa:5159%09red/hsa:3689%09red/hsa:80310%09red/hsa:3680%09red/hsa:89846%09red/hsa:2263%09red/hsa:3645%09red/hsa:3655%09red
Dilated cardiomyopathy	KEGG PATHWAY	hsa05414	16	90	0.00045127	0.005759064	ITGA9|ITGA2|ACTC1|TPM1|DES|IGF1|CACNB4|TGFB2|ITGA10|ITGB3|MYL3|SGCA|MYH7|ITGA11|ITGA6|TGFB3	http://www.genome.jp/kegg-bin/show_pathway?hsa05414/hsa:8515%09red/hsa:785%09red/hsa:3673%09red/hsa:3680%09red/hsa:3479%09red/hsa:4634%09red/hsa:22801%09red/hsa:4625%09red/hsa:7043%09red/hsa:7042%09red/hsa:3690%09red/hsa:7168%09red/hsa:6442%09red/hsa:70%09red/hsa:1674%09red/hsa:3655%09red
Focal adhesion	KEGG PATHWAY	hsa04510	27	206	0.000591194	0.007080903	BIRC3|VEGFD|IGF1|BUB1B-PAK6|PDGFRB|EGFR|ITGA6|EGF|FLNC|KDR|TNXB|VEGFB|SHC3|SHC2|SPP1|ITGA9|ITGA2|MET|CAV1|ITGA10|CCND1|ITGB3|THBS1|ITGA11|PDGFD|COL4A4|PPP1R12A	http://www.genome.jp/kegg-bin/show_pathway?hsa04510/hsa:595%09red/hsa:330%09red/hsa:4659%09red/hsa:3479%09red/hsa:2277%09red/hsa:3791%09red/hsa:1950%09red/hsa:1956%09red/hsa:3690%09red/hsa:2318%09red/hsa:7148%09red/hsa:56924%09red/hsa:8515%09red/hsa:3673%09red/hsa:5159%09red/hsa:857%09red/hsa:7423%09red/hsa:1286%09red/hsa:80310%09red/hsa:3680%09red/hsa:25759%09red/hsa:4233%09red/hsa:53358%09red/hsa:22801%09red/hsa:7057%09red/hsa:6696%09red/hsa:3655%09red
Pertussis	KEGG PATHWAY	hsa05133	14	75	0.000658404	0.007080903	IL12A|C1R|CD14|C2|CXCL8|ITGB2|CXCL6|CXCL5|C3|TLR4|FOS|C1S|IL6|SERPING1	http://www.genome.jp/kegg-bin/show_pathway?hsa05133/hsa:3689%09red/hsa:3569%09red/hsa:2353%09red/hsa:3592%09red/hsa:6372%09red/hsa:7099%09red/hsa:3576%09red/hsa:6374%09red/hsa:718%09red/hsa:710%09red/hsa:929%09red/hsa:715%09red/hsa:717%09red/hsa:716%09red
Arrhythmogenic right ventricular cardiomyopathy (ARVC)	KEGG PATHWAY	hsa05412	14	75	0.000658404	0.007080903	ITGA9|ITGA2|DES|CACNB4|JUP|ITGA10|ITGB3|SGCA|DSG2|TCF7|CDH2|ITGA11|GJA1|ITGA6	http://www.genome.jp/kegg-bin/show_pathway?hsa05412/hsa:8515%09red/hsa:2697%09red/hsa:1829%09red/hsa:3728%09red/hsa:3673%09red/hsa:3680%09red/hsa:785%09red/hsa:22801%09red/hsa:6442%09red/hsa:3690%09red/hsa:6932%09red/hsa:1000%09red/hsa:1674%09red/hsa:3655%09red
Bladder cancer	KEGG PATHWAY	hsa05219	10	41	0.000660532	0.007080903	EGFR|CXCL8|CCND1|HBEGF|THBS1|E2F1|TYMP|DAPK1|E2F2|EGF	http://www.genome.jp/kegg-bin/show_pathway?hsa05219/hsa:1839%09red/hsa:1612%09red/hsa:3576%09red/hsa:595%09red/hsa:1890%09red/hsa:1870%09red/hsa:7057%09red/hsa:1956%09red/hsa:1869%09red/hsa:1950%09red
Hematopoietic cell lineage	KEGG PATHWAY	hsa04640	15	86	0.000798604	0.008231766	IL7R|KIT|ITGA2|CD14|ITGB3|CSF3R|CD24|CSF1|IL1R2|FLT3LG|IL6|CD34|ITGA6|IL11|IL7	http://www.genome.jp/kegg-bin/show_pathway?hsa04640/hsa:3569%09red/hsa:947%09red/hsa:1435%09red/hsa:3673%09red/hsa:3815%09red/hsa:100133941%09red/hsa:2323%09red/hsa:3574%09red/hsa:1441%09red/hsa:3575%09red/hsa:3690%09red/hsa:3589%09red/hsa:929%09red/hsa:7850%09red/hsa:3655%09red
Oocyte meiosis	KEGG PATHWAY	hsa04114	18	120	0.001216091	0.012070829	PKMYT1|FBXO43|PLK1|CDK1|IGF1|CCNB2|BUB1|CCNE2|FBXO5|CDC25C|MAD2L1|CDC20|AURKA|ESPL1|PTTG1|SPDYE6|CCNB1|SGO1	http://www.genome.jp/kegg-bin/show_pathway?hsa04114/hsa:991%09red/hsa:983%09red/hsa:9088%09red/hsa:995%09red/hsa:891%09red/hsa:5347%09red/hsa:9700%09red/hsa:3479%09red/hsa:699%09red/hsa:729597%09red/hsa:9134%09red/hsa:4085%09red/hsa:6790%09red/hsa:9133%09red/hsa:151648%09red/hsa:9232%09red/hsa:26271%09red/hsa:286151%09red
Hippo signaling pathway	KEGG PATHWAY	hsa04390	21	153	0.001373448	0.013145858	WNT2B|FZD4|WNT7B|BMP4|WNT2|ITGB2|WNT5A|GDF7|TGFB2|TP73|CCND1|NKD1|WNT4|AXIN2|ID1|BIRC5|TCF7|PPP2R2C|WWC1|SERPINE1|TGFB3	http://www.genome.jp/kegg-bin/show_pathway?hsa04390/hsa:3397%09red/hsa:7477%09red/hsa:652%09red/hsa:7472%09red/hsa:5522%09red/hsa:151449%09red/hsa:595%09red/hsa:7474%09red/hsa:8313%09red/hsa:54361%09red/hsa:7161%09red/hsa:8322%09red/hsa:7043%09red/hsa:7482%09red/hsa:85407%09red/hsa:23286%09red/hsa:332%09red/hsa:6932%09red/hsa:3689%09red/hsa:5054%09red/hsa:7042%09red
Fanconi anemia pathway	KEGG PATHWAY	hsa03460	11	56	0.0016944	0.015658592	EME1|FANCD2|RAD51|BRCA1|FANCI|BRCA2|BLM|FANCA|FANCB|UBE2T|BRIP1	http://www.genome.jp/kegg-bin/show_pathway?hsa03460/hsa:641%09red/hsa:29089%09red/hsa:672%09red/hsa:83990%09red/hsa:675%09red/hsa:146956%09red/hsa:2175%09red/hsa:2177%09red/hsa:5888%09red/hsa:2187%09red/hsa:55215%09red
Wnt signaling pathway	KEGG PATHWAY	hsa04310	19	142	0.002924648	0.026126857	WNT2B|FZD4|WNT7B|WIF1|WNT2|DKK1|WNT5A|SFRP2|CCND1|NKD1|NKD2|FOSL1|NFATC2|DKK2|TCF7|WNT4|SERPINF1|PLCB1|AXIN2	http://www.genome.jp/kegg-bin/show_pathway?hsa04310/hsa:7477%09red/hsa:7474%09red/hsa:7472%09red/hsa:22943%09red/hsa:6423%09red/hsa:595%09red/hsa:11197%09red/hsa:23236%09red/hsa:4773%09red/hsa:8322%09red/hsa:27123%09red/hsa:7482%09red/hsa:8061%09red/hsa:85407%09red/hsa:85409%09red/hsa:6932%09red/hsa:5176%09red/hsa:8313%09red/hsa:54361%09red
Prostate cancer	KEGG PATHWAY	hsa05215	14	91	0.003314567	0.028654962	EGFR|SRD5A2|IGF1|CCNE2|CCND1|INSRR|E2F2|E2F1|FOXO1|TCF7|FGFR2|PDGFD|EGF|PDGFRB	http://www.genome.jp/kegg-bin/show_pathway?hsa05215/hsa:80310%09red/hsa:595%09red/hsa:3479%09red/hsa:6716%09red/hsa:5159%09red/hsa:1870%09red/hsa:9134%09red/hsa:1950%09red/hsa:1956%09red/hsa:2263%09red/hsa:3645%09red/hsa:6932%09red/hsa:1869%09red/hsa:2308%09red
TGF-beta signaling pathway	KEGG PATHWAY	hsa04350	13	84	0.004361471	0.035745321	ACVR1C|RBL1|GDF7|CHRD|INHBB|TGFB2|ACVR2A|THBS1|ID1|BMP4|SMURF2|TGFB3|DCN	http://www.genome.jp/kegg-bin/show_pathway?hsa04350/hsa:3397%09red/hsa:652%09red/hsa:8646%09red/hsa:1634%09red/hsa:64750%09red/hsa:3625%09red/hsa:92%09red/hsa:7057%09red/hsa:7043%09red/hsa:7042%09red/hsa:151449%09red/hsa:130399%09red/hsa:5933%09red
Legionellosis	KEGG PATHWAY	hsa05134	10	55	0.004401476	0.035745321	IL12A|CD14|CXCL8|ITGB2|HSPA2|TLR5|C3|TLR4|IL6|HSPA6	http://www.genome.jp/kegg-bin/show_pathway?hsa05134/hsa:3689%09red/hsa:3569%09red/hsa:7100%09red/hsa:3592%09red/hsa:7099%09red/hsa:3306%09red/hsa:3576%09red/hsa:3310%09red/hsa:718%09red/hsa:929%09red
